,Coefficients
Cmp/G_career,0.0
Att/G_career,-0.0
Cmp%_career,-0.0
Passing Yds/G_career,0.0
Passing TD/G_career,27.526040314165723
TD%_career,-0.0
Int/G_career,-18.74547530475102
Int%_career,0.0
Passing 1D/G_career,6.971871080216132
Passing Lng_career,23.40006470106396
Passing Yds/A_career,0.0
AY/A_career,-0.0
Yds/Cmp_career,-0.0
Rate_career,-0.0
Sacks/G_career,-9.452223358236397
Sack Yds Lost/G_career,-8.041958279139001
Sk%_career,3.2863432272841426
NY/A_career,-0.0
ANY/A_career,-17.606711716940037
4QC/G_career,-1.3154277417758304
4QC/G_career.1,15.334232062270557
Rush/G_career,0.0
Rushing Yds/G_career,0.0
Rushing 1D/G_career,0.0
Rushing Lng_career,0.0
Rushing Yds/Att_career,0.0
RRTD/G_career,12.719752481654272
Fmb/G_career,0.03317346418190739
Age_last,-1.240367047753765
Cmp/G_last,-0.0
Att/G_last,-0.0
Cmp%_last,-7.395255712839451
Passing Yds/G_last,36.047290277312996
Passing TD/G_last,19.868745212506003
TD%_last,-0.8813074279299128
Int/G_last,-16.38885856779221
Int%_last,-4.995370829190205
Passing 1D/G_last,0.0
Passing Lng_last,4.107272715257605
Passing Yds/A_last,0.0
AY/A_last,0.0
Yds/Cmp_last,0.0
Rate_last,-0.0
Sacks/G_last,0.0
Sack Yds Lost/G_last,2.943640172806028
Sk%_last,-2.7700192929897796
NY/A_last,0.0
ANY/A_last,3.533611661825369
4QC/G_last,-3.5072775319662712
4QC/G_last.1,9.456294740354432
Rush/G_last,16.373426960224794
Rush Yds/G_last,-0.0
Rush 1D/G_last,-15.82293914305022
Rushing Lng_last,9.37802783154184
Rushing Yds/Att_last,-3.306676741830016
RRTD/G_last,3.7875873802603257
Fmb/G_last,0.0
